0001—二三四五六七八九 答案：缺衣少食 
0096—小明家住在五楼，可是电梯坏了，他自己也没有走楼梯，他却上了五楼回到家里，这可能吗 答案：妈妈背着他上楼 
0097—一个苹果减去一个苹果，猜一个字。 答案：0 
0098—三个金“鑫”，三个水叫“淼”，三个人叫“众”，那么三个鬼应该叫什么 答案：救命 
0099—哪儿的海不产鱼 答案：辞海 
0100—楚楚的生日在三月三十日，请问是哪年的三月三十日 答案：每年的三月三十日 
0101—有种动物，大小像只猫，长相又像虎，这是什么动物 答案：小老虎 
0102—猴子每分钟能掰一个玉米，在果园里，一只猴子５分钟能掰几个玉米 答案：一个也没有掰到 
0103—小红口袋里原有１０个铜钱，但它们都掉了，请问小红口袋里还剩下什么 答案：还剩下一个洞 
0104—世上什么东西比天更高 答案：心比天高 
0105—什么贵重的东西最容易不翼而飞 答案：人造卫星 
0106—三个孩子吃三个饼要用3分钟，九十个孩子九十个饼要用多少时间 答案：三分钟 
0107—一个伟大的人和一只伟大的狮子同一天诞生，有什么关系？ 答案：没关系 
0108—醉鬼是什么人？ 答案：宣布自己没醉的人 
0109—当地球爆炸时，什么地方最安全 答案：地猴 
0110—哪一件衣服最耐穿？ 答案：最不喜欢的那件 
0111—法王路易十四被砍头后他的儿子当了什么？ 答案：孤儿 
0112—世界上什么没有标价？ 答案：情意 
0113—小云和阿花已经结婚了，为什么他们还偷偷摸摸的约会呢？ 答案：他们分别是和别人约会 
0114—一个人什么“地方”能大能小？ 答案：心眼儿 
0115—一年前的元月一日，所有的人都在做着一件非常重要的事，你记得是什么事吗？ 答案：都在呼吸 
0116—小王跑步为什么总是保持一个姿势不变？ 答案：因为他在照片中 
0117—左看像电风扇，右看像电风扇，虽然像电风扇，就是不会转，请问这究竟是什么？ 答案：停电的电风扇 
0118—什么情况下，每个人都会主动地发挥赴汤蹈火精神？ 答案：吃火锅的时候 
0119—3个人3天用3桶水，9个人9天用几桶水 答案：九 
0120—为什么有一个人经常从十米高的地方不带任何安全装置跳下 答案：跳水运动员 
0121—小王因工作需要常交际应酬，虽然每天都很早回家，可妻子还是抱怨不断，这为什么 答案：他每天凌晨回家 
0122—有一只蜗牛从新疆维吾尔自治区爬到海南省为什么只需三分钟 答案：它在地图上爬 
0123—一个不会游泳的人掉进了水里却没有淹死，为什么 答案：穿着救生衣 
0124—车祸发生不久，第一批警察就赶到了现场，他们发现司机完好无损，翻覆的车子内外血迹斑斑，却没有见到死者和伤者，而这里是荒郊野外，并无人烟，这是怎么回事 答案：因为这是一辆献血车 
0125—哪种人希望孩子越多越好？ 答案：儿童用品制造高 
0126—一个人死前要做的最后一件事是什么？ 答案：咽下最后一口气 
0127—为什么刘备三顾茅庐，诸葛亮才肯见他？ 答案：因为前两次没带礼 
0128—小王说他会在太阳和月亮永远在一起的时候去旅行，你说可能吗？ 答案：可能是明天 
0129—古时候没有钟，有人养了一群鸡,可是天亮时，没有一只鸡给他报晓。这是为什么？ 答案：他养了一群母鸡 
0130—老张是出了名的拳手，为什么一戴上拳击手套反而让对手三下两下打下台去了？ 答案：他是划酒拳的高手 
0131—远东百货遭小偷，警察立刻封锁住所有出口，但为什么小偷仍逃了出去，为什么？ 答案：小偷可以从入口逃走呀 
0132—你能做、我能做、大家都能做，一个人能做、两个人不能一起做。这是做什么 答案：做梦 
0133—明明是个近视眼，也是个出名的馋小子，在他面前放一堆书，书后放一个苹果，你说他会先看什么 答案：什么都看不见 
0134—太太吃完饭后向先生要火柴，先生殷勤地掏出名牌打火机，却被太太瞪了一眼，为什么？ 答案：打火机怎么能剔牙齿呢 
0135—永远都没有终结的事是什么？ 答案：问题 
0136—世界上最洁净的“球”是什么球？ 答案：卫生球 
0137—每个人都最爱的人是谁？ 答案：自己 
0138—一个手无寸铁的人钻进了狮子笼里，为什么太平无事？ 答案：狮子笼是空的 
0139—比黄金更容易招引盗贼的东西是什么？ 答案：美貌 
0140—老陈买的明明是真药而不是假药，为什么会被判重刑？ 答案：他走私军火 
0141—有一个海没有一滴水。是什么海？ 答案：辞海 
0142—为什么只看过“小说”，没看过“大说”？ 答案：因为大说已逝世 
0143—新版的纸币，竟然印得不一样，为什么？ 答案：号码不一样 
0144—有一种牛皮最容易被戳穿，那是什么牛皮？ 答案：吹牛皮 
0145—黑人不必担心哪一件事？ 答案：晒黑 
0146—一个四脚朝天，一个四脚朝地，一个很痛苦，一个很高兴，这是在干什么 答案：猫捉老鼠 
0147—黄河的源头在哪儿？ 答案：天上,黄河之水天上来. 
0148—装模作样的人成功的途径是什么？ 答案：滥竽充数 
0149—住在什么样的家里，脚不出家门就可以上班工作？ 答案：国家 
0150—什么样的河人们永远也渡不过去？ 答案：银河 
0151—卖水的人看到河会怎么想？ 答案：这些都是钱 
0152—从事什么职业的人容易在短时间反复改变主意？ 答案：列队的教官 
0153—流浪了50多年的流浪汉，有一天突然不流浪了，为什么？ 答案：他死了 
0154—老王天天掉头发，什么办法都用了，只有一种办法使他永远不掉头发。是什么办法呢？ 答案：剃光 
0155—什么动物在天上是4只脚，在地上是2只脚，在水里是3只脚？ 答案：怪物 
0156—买一双高级女皮鞋要214元5角6分钱，请问买一只要多少钱？ 答案：一只不卖 
0157—一艘五十万吨的油轮沉没了，最先浮出水面的是什么？ 答案：空气 
0158—为什么罗丹雕塑的作品“沉思者”没有穿衣服？ 答案：他正在想穿那件衣服好看 
0159—什么东西破裂之后，即使最精密的仪器也找不到裂纹？ 答案：感情 
0160—什么事情，只能用一只手去做？ 答案：剪自己的手指甲 
0161—什么房子失了火却不见有人跑出来 答案：太平间 
0162—家里又脏又乱，怎样才能在最短时间内弄干净？ 答案：闭上眼睛眼不见为净 
0163—什么地方能出生入死？ 答案：医院 
0164—在布匹店,买不到什么布 答案：松赞干布 
0165—什么东西不能用放大镜放大？ 答案：角度 
0166—少女们的偶像如果不幸因车祸而成了植物人，那么影迷们会怎样呢？ 答案：帅呆了 
0167—既没有生孩子、养孩子也没有认干娘，还没有认领养子养女就先当上了娘，请问：这是什么人 答案：新郎 
0168—阿里巴巴和四十大盗的故事是东方夜谭还是西方夜谭 答案：都不是天方夜谭 
0169—黑人和白人生下的婴儿，牙齿是什么颜色的 答案：婴儿还没有长牙齿 
0170—为什么老王家的马能吃掉老张家的象 答案：因为他们正在下象棋 
0171—为什么女人穿高跟鞋后，就代表她快结婚了 答案：因为穿高跟鞋慢很容易被男人追上 
0172—老高骑自行车骑了十公里，但周围的景物始终没有变化。为什么 答案：他骑的是室内健身车 
0173—六岁的小明总是喜欢把家里的闹钟整坏，妈妈为什么总是让不会修理钟表的爸爸代为修理 答案：妈妈让爸爸修理小明 
0174—哪一种人最容易走极端？ 答案：爱基斯摩人 
0175—狼来了——猜一水果名 答案：杨桃 
0176—为什么警察要系白皮带？ 答案：不系皮带裤子会掉下来 
0177—世界上最高的峰叫什么峰？ 答案：高峰 
0178—一个圆有几个面？ 答案：两个面一个外面一个里面 
0179—为什么结婚要请客吃饭，办丧事也要请客吃饭？ 答案：前面宣布家里多了一个人吃饭后面宣布家里少了一个人吃 
0180—怎样使用最简单的方法使X+I=IX等式成立？ 答案：1+X 
0181—此字不难猜，孔子猜三天，请问是何字？ 答案：晶 
0182—什么时候4-3=5？ 答案：算错时 
0183—蛇为什么要脱皮？ 答案：因为皮在痒 
0184—教室中为什么要有讲台？ 答案：提高老师的地位 
0185—为什么冲天炮射不到星星？ 答案：因为星星会闪呀 
0186—此字不难猜，而且不分开。请问是何字？ 答案：面 
0187—在餐厅中吃完饭发现没带钱，怎么办？ 答案：刷卡或吃赊帐 
0188—选美大赛--猜一国家名 答案：以色列 
0189—蓝色的笔能写出红字吗？ 答案：写个红字当然可以 
0190—人体最大的器官是什么？ 答案：胆胆大包天. 
0191—一个挂钟敲六下要30秒，敲12下要几秒？ 答案：66秒 
0192—请问英语有多少个字母？ 答案：没有字母是中文 
0193—老王从九岁开始有虫牙，为什么90岁时他的牙都还在？ 答案：虫早已换掉 
0194—为什么胖的人比瘦的人怕晒？ 答案：晒的面积比较大 
0195—借什么可以不还 答案：借光 
0196—刚起飞的飞机突然冒烟掉在地上，为什么没人受伤 答案：所有人都死了 
0197—什么时候有人敲门，你绝不会说请进 答案：在厕所里的时候 
0198—梁山伯和祝英台变成了一对比翼双飞的蝴蝶之后怎样了 答案：生了一堆毛毛虫 
0199—什么东西可以死很多次，而且一般情况下每次死的时间不超过1分钟？ 答案：死机 
0200—有甲、乙、丙三人跳伞，甲乙有带伞，丙则无，但后来反而丙没事，甲乙都有事，为什么？ 答案：甲乙为丙办丧 
0201—世界上什么东西以近2000公里小时的速度载着人奔驰,而不必加油或其它燃料 答案：地球 
0202—考试做判断题，小花掷骰子决定答案，但题目有20题，为什么他却扔了40次？ 答案：他要验证一遍 
0203—一把11厘米长的尺子，可否只刻3个整数刻度，即可用于量出1到11厘米之间的任何整数厘米长的物品长度？如果可以，问应刻哪几个刻度？ 答案：可以.刻度可位于2,7,8处. 
0204—世界上任何地方找不出如此便宜的住所是什么地方？ 答案：牢房 
0205—如果核战爆发，你认为哪两个地方会人满为患？ 答案：地猴和天堂 
0206—浪费掉人的一生的三分之一时间的会是什么东西？ 答案：床 
0207—什么马不会跑？ 答案：木马 
0208—整天整天在大街上逛悠并且特爱“管闲事”的家伙是谁？ 答案：交通警 
0209—为什么离婚的人越来越多？ 答案：因为结婚的越来越多 
0210—如果不辛得了狂犬病，你第一件事要做什么？ 答案：列张仇人名单 
0211—为什么有人说：世界上分配得最公平的东西是“良心”？ 答案：你说过有人说自己没有良心了吗 
0212—你知道一个人的小腿应该有多长？ 答案：应该长到碰着地面 
0213—你有一艘船，船上有十五位船员，六十位乘客，三百吨货物。你能根据上面的提示，算出船主的年龄吗 答案：你就是船主年龄还需要算吗? 
0214—小王在市区租了一间房子，租约上注明若不慎引起火灾，烧毁了房子，必须赔偿三百万元。小王不但不反对，甚至还主动多填了一个零，为什么？ 答案：反正都赔不起 
0215—你在一年半的时间都不会说话，这段时间你在干什么？ 答案：刚出生在哭 
0216—有一种活动能够准确无误地告诉你：美人不是天生长出来的，而是七嘴八舌说出来的，这是什么活动？ 答案：选美 
0217—你怎么区分东南西北？ 答案：很简单加顿号 
0218—在什么样的情况之下，手推车前有人推，后有人拉，但还是会向前进？ 答案：下坡的时候 
0219—有三个小朋友在猜拳，，一个出剪刀，一个出石头，一个出布，请问三个人共有几根指头？ 答案：六十 
0220—我常带着我的狗去晨跑，累得我和它都满头大汗，为什么？ 答案：你见过狗满头大汗吗 
0221—晶晶一下子就破了跳高记录，是怎么做到的呢？ 答案：她从杆子底下走过去的 
0222—当你捏住你的鼻子是，你会看不到什么呢？ 答案：当然是你自己的鼻子 
0223—可以天天躺在枕头上工作一辈子的是什么？ 答案：铁轨 
0224—有一样的东西能托起五十公斤的橡木，却容不下五十公斤的沙，你知道是什么吗？ 答案：水 
0225—书呆子买了一本书，第二天他妈妈却发现书在脸盆里，为什么？ 答案：他认为那本书太枯燥了 
0226—小胖在从图书馆回家的计程车上睡着了。突然他一觉醒来，发现前座的司机先生不见了，而车子却仍然在往前进，为什么？ 答案：车子执锚了,司机正在后面推车. 
0227—塑料袋里有六个橘子，如何均分给三个小孩，而塑料袋里仍有二个橘子？（不可以分开橘子） 答案：当然是一个人两个桔子,只是一个连塑料袋一起给他. 
0228—王大婶有三个儿子，这三个儿子又各有一个姐姐和妹妹，请问王大婶共有几个孩子？ 答案：五个 
0229—神偷“妙手空空”把附近一些有钱人家的金银珠宝偷得一干二净，为什么唯独一家既无防盗设备，也无保全人员的财主没受到光顾？ 答案：他自己的家 
0230—有一个家伙上身穿着棉袄，下身穿着短裤，左手拿着冰可乐，右手端着热咖啡，每天坐在火炉旁，却又开着冷气，请问他到底是什么人？ 答案：神经病 
0231—爸爸要小明背论语，他一分钟就背了整本书，难道小明是天才吗？ 答案：不因为他只背了论语. 
0232—老古家遭小偷，损失惨重，但当警方通知破案是，老古却送慰问品去看那名窃贼，为什么？ 答案：他想请教如何在半夜回家而不把老婆吵醒的秘法 
0233—班长告诉菜鸟，当拉开手榴弹的保险之后，口中先数五秒再投掷出去，菜鸟一切都按班长指示动作，但仍被炸死了，为什么？ 答案：因为菜鸟有口吃 
0234—什么虎会吓人但并不吃人？ 答案：壁虎 
0235—电话声大作，却不见小华和哥哥去接电话，这是怎么回事？ 答案：因为那是电视广告 
0236—阿陈为什么不能把赌博一次戒掉？ 答案：因为戒了右手还有左手呀 
0237—艳阳高照，为什么只有小可全身湿淋淋的？ 答案：因为他正在游泳呀 
0238—大雄练就了“吃西瓜不吐子”的绝招，到底他是怎么练成的？ 答案：吃得是无子西瓜呀 
0239—一朵插在牛粪上的鲜花是什么花？ 答案：牵牛花 
0240—小秦买了一辆全新的跑车，却不能开上马路，这是为什么？ 答案：他买的是玩具跑车 
0241—堂堂的中央图书馆，却没有明版的“康熙字典”，这是为什么？ 答案：康熙字典是清朝人编的 
0242—老师和牧师有一个共同点，你知道是什么吗？ 答案：同样拥有让人睡觉的功夫 
0243—从前大家都怕“大哥大”，现在却喜欢“大哥大”，到底怎么回事？ 答案：大哥大电话谁不喜欢 
0244—做什么事睁一只眼，闭一只眼比较好？ 答案：照相的 
0245—奶奶非常疼爱她养的那头猫，当猫咪生日那天，她特地准备了五个各放了一条鱼的盘子，为它祝贺。猫咪走到盘子前，犹豫了一会儿，然后把第三个盘子里的鱼吃掉了，为什么？ 答案：它高兴 
0246—中国人为什么人口这么多？ 答案：因为汉(和)人在一起. 
0247—女儿第一次参加舞会，妈妈最担心什么？ 答案：与狼共舞 
0248—每个怀孕的女人都常常会去想象孩子未来的长相，为什么只有阿美例外 答案：她到现在还没有想起来他爸爸长得什么样 
0249—猪皮是用来作什么的呢？ 答案：包猪肉用的 
0250—100公斤的胖妹听说骑马可以减肥，便去试，你猜结果如何？ 答案：马瘦子十公斤 
0251—小虎从“武术大全”这本书上学得一身好功夫，但是第一次路见不平就被修理了一顿，为什么？ 答案：他看的是盗印版 
0252—为什么小明拒绝用“一边……一边……”这个词来造句？ 答案：老师不是说"一心不能二用"嘛. 
0253—在什么情况之下24和44不会约为成最简分数？ 答案：写在五线谱上面 
0254—小吴称赞女朋友的新衣服“十分漂亮”，但却被女友打了一顿，为什么？ 答案：满分是一百分 
0255—母亲节那天，你如果不想让母亲洗碗，又不想自己动手的话，你该怎么办？ 答案：跟她说:"妈留着明天洗吧." 
0256—一只田鼠在挖洞时并没有在洞口四周留下泥堆，为什么？ 答案：因为他先挖出口 
0257—阿忠结婚好几年了，却没生下一个孩子，这是为什么？ 答案：他生的是双胞胎 
0258—有一位律师，他自己有了婚变，却站在太太的立场，免费担任太太的辩护律师，并且帮助她向丈夫要求更多的赡养费，最后这律师却没有任何损失，为什么？ 答案：因为这个律师正是那个太太 
0259—老师出了一道作文，题目是“假如我是个董事长”，同学都用心在写，为什么小强不动手？ 答案：他在等秘书替他写 
0260—小丽身上只有五百元，下班后却和同事跑到百货公司疯狂购物，花了五千元，她是怎么做到的？ 答案：他用信用卡 
0261—什么东西要藏起来暗地里用，用完之后再暗地里交给别人？ 答案：软片 
0262—森林里有一条眼镜蛇，可是它从来不咬人，你知道为什么吗？ 答案：因为那森林里没有人 
0263—为什么老李喜欢和自己的老婆和孩子一起打麻将？ 答案：只有这样才能回收一部分薪水 
0264—明明是放砂糖的罐子，却贴着一张写着“盐”的标签，你知道作用何在？ 答案：骗蚂蚁 
0265—戒烟为什么要戒两次呢？ 答案：戒了右手还是戒左手 
0266—如果你生出来的儿子只有一只右手你会怎么办？ 答案：怕什么他不是还有一只左手嘛 
0267—什么车最不可能发生车祸？ 答案：灵车 
0268—常把手伸向别人包里的人，为什么却不是小偷？ 答案：海关检查员 
0269—美玲每晚都出去梦游，为什么她的丈夫不带她去医院治疗呢？ 答案：她每回梦游回来都带回来两千元 
0270—世界上哪一种鸭蛋不能吃，煮不熟，却打得破？ 答案：比赛成绩的鸭蛋. 
0271—老王是个酒鬼，有一天他去看医生，医生警告他喝酒一次不可超过4杯，为什么老王还是不怕，一次喝了8杯呢？ 答案：因为他连续看了两次医生 
0272—有一间屋子的北边有肥料厂，南边有酒厂，它有项优点，你知道是什么吗？ 答案：只要一开窗子就能知道什么风 
0273—小虎的机车既没有锁，也没有违规，但是仍然被锁上了，为什么？ 答案：不知道那个迷糊蛋锁错了 
0274—明明是个“错”字，为什么小华却偏偏说要“对”？ 答案：的确是个"错"字呀 
0275—三个人一起下田，但其中一个人却老站在那里不动手，为什么？ 答案：那是个稻草人 
0276—外国人问路，小明拼命有英语对他说，他却一点也听不懂，这是为什么？ 答案：因为他是法国人 
0277—福尔摩斯花了半天时间，却查不出命案现场有任何线索及目击者，但他随即就宣布破案了，为什么？ 答案：因为凶手自首了 
0278—气候突然转冷，一只鸵鸟决定南迁，请问它头向南，尾朝北，而爪子该朝向哪一方呢？ 答案：鸵鸟不会飞 
0279—小杰最爱吹牛，但是为什么他说大家都说他讲话很实在？ 答案：那是他自己说的 
0280—经理想写封信给太太，于是口述由女秘书代笔。写好之后，经理却发现漏了最后一句：“我爱你。”为什么？ 答案：女秘书以为是对她说的 
0281—天上有十个太阳，为什么后翼只射下九个？ 答案：他不想摸黑回家 
0282—什么时候，我们会目中无人？ 答案：半夜我们一个人走在墓地 
0283—谁会连续摇头半个小时以上？ 答案：看球赛的 
0284—考一个亲戚称呼问题，如果你曾祖父的儿子，就是娶了你妈妈的那个人，你应该叫他什么？ 答案：喂乘儿子吃了没有 
0285—嫦娥为什么后悔上广寒宫？ 答案：因为月亮上没有赛月饼 
0286—人在做哪一件事的时候，最好能闭上眼睛？ 答案：死掉的时候省得吓人 
0287—除了司机以外，还有谁可以每天搭公车而不必给钱？ 答案：售票员 
0288—在机场办出境手续时，才想起忘了拿护照，怎么样才能在最短的时间里拿到护照呢？ 答案：打开皮包就可以拿到了 
0289—对一个打算把头发留到腰部的人来说，最重要的一件事是什么？ 答案：晚上不要穿着白衣服出门 
0290—为什么有人说：“情人眼里出西施”？ 答案：因为爱情使人盲目 
0291—超人看到有人在银行抢劫，为什么不去阻止？ 答案：找不到电话亭 
0292—什么地方物品售价愈高，客人愈高兴？ 答案：当铺 
0293—车子应该靠右行使才对，为什么杨先生靠左行使却没事？ 答案：因为他正行驶在靠左行驶的国家 
0294—老陈工作时一直闭着眼睛，从不睁开，他究竟是做什么工作的？ 答案：假装瞎子乞讨 
0295—在没有停电、跳电的情况下，为什么吴先生按了开关电灯却没有亮？ 答案：他接的是电视开关当然不会亮了 
0296—小呆一天写作文时，发现不会写“笨”字，于是他查字典，但是却查不到这个字，为什么？ 答案：她笨的去拿英文字典去查了 
0297—安妮的医师男友到外地出差一年，每两天会写一封情书给安妮，请问两个月之后，安妮会收到几封情书？ 答案：一封也没有,有,但他太懒了,一封也没有寄. 
0298—阿三死了，为什么大毛理直气壮的说：“凶手不是我，绝对另有其人！” 答案：因为阿三是电视推理剧场中的 
0299—一名国中女生上了传说中闹鬼的厕所后，为什么昏倒在厕所里面？ 答案：他忘了厕所门是带拉的推半天推不开晕过去了 
0300—某人向枪靶射击了五发子弹，共得一百分，他射中了哪里？ 答案：只中一发正好一百 
0301—甲跟乙打赌：“我可以咬到自己的右眼。”乙不信，甲把假的右眼拿下来放在嘴里咬了五下。甲又说：“我还可以咬到自己的左眼。”乙仍然不信，结果，甲又赢了，他是怎么做到的？ 答案：他把假牙拿下来咬左眼 
0302—大多数人是用左手端碗，右手吃饭，对吧？ 答案：那要嘴巴干什么 
0303—不见棺材不掉泪”可以拿来形容一个顽固，你知道什么人是“见了棺材仍然不掉泪”的死硬派吗？ 答案：当然是死人了 
0304—老吴每天抽两包烟，他老婆逼他减少一半的量，于是老吴把一天分成两段时间，用过去相同的间隔速度抽烟，事实上，老吴的烟量却一根也没减少这是为什么？ 答案：他的划分是以清醒与睡觉为均等于没少 
0305—老李站在马路上比手划脚，却不见警察来赶他，为什么？ 答案：老李是警察 
